id,name,omimid,description,created_at,updated_at
294,,169600,,2020-12-22 18:01:39,2020-12-22 18:01:39
295,,245010,,2020-12-22 18:01:39,2020-12-22 18:01:39
296,,139600,,2020-12-22 18:01:39,2020-12-22 18:01:39
297,,234100,,2020-12-22 18:01:39,2020-12-22 18:01:39
298,,260530,,2020-12-22 18:01:39,2020-12-22 18:01:39
299,,242500,,2020-12-22 18:01:39,2020-12-22 18:01:39
300,,234500,,2020-12-22 18:01:39,2020-12-22 18:01:39
301,,235510,,2020-12-22 18:01:39,2020-12-22 18:01:39
302,,616006,,2020-12-22 18:01:39,2020-12-22 18:01:39
303,,618154,,2020-12-22 18:01:39,2020-12-22 18:01:39
304,,176100,,2020-12-22 18:01:39,2020-12-22 18:01:39
305,,121300,,2020-12-22 18:01:40,2020-12-22 18:01:40
306,,615704,,2020-12-22 18:01:40,2020-12-22 18:01:40
307,,187300,,2020-12-22 18:01:40,2020-12-22 18:01:40
308,,600376,,2020-12-22 18:01:40,2020-12-22 18:01:40
309,,601101,,2020-12-22 18:01:40,2020-12-22 18:01:40
310,,610655,,2020-12-22 18:01:40,2020-12-22 18:01:40
311,,615506,,2020-12-22 18:01:40,2020-12-22 18:01:40
312,,150800,,2020-12-22 18:01:40,2020-12-22 18:01:40
313,,153200,,2020-12-22 18:01:40,2020-12-22 18:01:40
314,,158310,,2020-12-22 18:01:40,2020-12-22 18:01:40
315,,167800,,2020-12-22 18:01:40,2020-12-22 18:01:40
316,,608233,,2020-12-22 18:01:40,2020-12-22 18:01:40
317,,253270,,2020-12-22 18:01:40,2020-12-22 18:01:40
318,,260920,,2020-12-22 18:01:41,2020-12-22 18:01:41
319,,144150,,2020-12-22 18:01:41,2020-12-22 18:01:41
320,,130020,,2020-12-22 18:01:41,2020-12-22 18:01:41
321,,129490,,2020-12-22 18:01:41,2020-12-22 18:01:41
322,,224900,,2020-12-22 18:01:41,2020-12-22 18:01:41
323,,300291,,2020-12-22 18:01:41,2020-12-22 18:01:41
324,,305100,,2020-12-22 18:01:41,2020-12-22 18:01:41
325,,612132,,2020-12-22 18:01:41,2020-12-22 18:01:41
326,,614940,,2020-12-22 18:01:41,2020-12-22 18:01:41
327,,614941,,2020-12-22 18:01:41,2020-12-22 18:01:41
328,,618535,,2020-12-22 18:01:41,2020-12-22 18:01:41
329,,225050,,2020-12-22 18:01:41,2020-12-22 18:01:41
330,,278150,,2020-12-22 18:01:41,2020-12-22 18:01:41
331,,604379,,2020-12-22 18:01:41,2020-12-22 18:01:41
332,,605389,,2020-12-22 18:01:41,2020-12-22 18:01:41
333,,607903,,2020-12-22 18:01:41,2020-12-22 18:01:41
334,,614237,,2020-12-22 18:01:41,2020-12-22 18:01:41
335,,614238,,2020-12-22 18:01:41,2020-12-22 18:01:41
336,,615059,,2020-12-22 18:01:41,2020-12-22 18:01:41
337,,615885,,2020-12-22 18:01:41,2020-12-22 18:01:41
338,,618275,,2020-12-22 18:01:41,2020-12-22 18:01:41
339,,137940,,2020-12-22 18:01:41,2020-12-22 18:01:41
340,,607823,,2020-12-22 18:01:42,2020-12-22 18:01:42
341,,242510,,2020-12-22 18:01:42,2020-12-22 18:01:42
342,,146800,,2020-12-22 18:01:42,2020-12-22 18:01:42
343,,308205,,2020-12-22 18:01:42,2020-12-22 18:01:42
344,,146590,,2020-12-22 18:01:42,2020-12-22 18:01:42
345,,242300,,2020-12-22 18:01:42,2020-12-22 18:01:42
346,,601277,,2020-12-22 18:01:42,2020-12-22 18:01:42
347,,604777,,2020-12-22 18:01:42,2020-12-22 18:01:42
348,,606545,,2020-12-22 18:01:42,2020-12-22 18:01:42
349,,612281,,2020-12-22 18:01:42,2020-12-22 18:01:42
350,,613943,,2020-12-22 18:01:42,2020-12-22 18:01:42
351,,617571,,2020-12-22 18:01:42,2020-12-22 18:01:42
352,,608649,,2020-12-22 18:01:42,2020-12-22 18:01:42
353,,607626,,2020-12-22 18:01:42,2020-12-22 18:01:42
354,,242530,,2020-12-22 18:01:42,2020-12-22 18:01:42
355,,308300,,2020-12-22 18:01:42,2020-12-22 18:01:42
356,,228550,,2020-12-22 18:01:42,2020-12-22 18:01:42
357,,615293,,2020-12-22 18:01:42,2020-12-22 18:01:42
358,,600457,,2020-12-22 18:01:43,2020-12-22 18:01:43
359,,243800,,2020-12-22 18:01:43,2020-12-22 18:01:43
360,,147770,,2020-12-22 18:01:43,2020-12-22 18:01:43
361,,226700,,2020-12-22 18:01:43,2020-12-22 18:01:43
362,,175050,,2020-12-22 18:01:43,2020-12-22 18:01:43
363,,612242,,2020-12-22 18:01:43,2020-12-22 18:01:43
364,,148350,,2020-12-22 18:01:43,2020-12-22 18:01:43
365,,148360,,2020-12-22 18:01:43,2020-12-22 18:01:43
366,,248300,,2020-12-22 18:01:43,2020-12-22 18:01:43
367,,148370,,2020-12-22 18:01:43,2020-12-22 18:01:43
368,,308830,,2020-12-22 18:01:43,2020-12-22 18:01:43
369,,308800,,2020-12-22 18:01:43,2020-12-22 18:01:43
370,,612843,,2020-12-22 18:01:43,2020-12-22 18:01:43
371,,148700,,2020-12-22 18:01:44,2020-12-22 18:01:44
372,,607654,,2020-12-22 18:01:44,2020-12-22 18:01:44
373,,612908,,2020-12-22 18:01:44,2020-12-22 18:01:44
374,,148210,,2020-12-22 18:01:44,2020-12-22 18:01:44
375,,242150,,2020-12-22 18:01:44,2020-12-22 18:01:44
376,,602540,,2020-12-22 18:01:44,2020-12-22 18:01:44
377,,149000,,2020-12-22 18:01:44,2020-12-22 18:01:44
378,,149200,,2020-12-22 18:01:44,2020-12-22 18:01:44
379,,226750,,2020-12-22 18:01:44,2020-12-22 18:01:44
380,,149730,,2020-12-22 18:01:44,2020-12-22 18:01:44
381,,226440,,2020-12-22 18:01:44,2020-12-22 18:01:44
382,,611431,,2020-12-22 18:01:44,2020-12-22 18:01:44
383,,608290,,2020-12-22 18:01:45,2020-12-22 18:01:45
384,,151100,,2020-12-22 18:01:45,2020-12-22 18:01:45
385,,611554,,2020-12-22 18:01:45,2020-12-22 18:01:45
386,,613707,,2020-12-22 18:01:45,2020-12-22 18:01:45
387,,246200,,2020-12-22 18:01:45,2020-12-22 18:01:45
388,,151600,,2020-12-22 18:01:45,2020-12-22 18:01:45
389,,603543,,2020-12-22 18:01:45,2020-12-22 18:01:45
390,,614323,,2020-12-22 18:01:45,2020-12-22 18:01:45
391,,163200,,2020-12-22 18:01:45,2020-12-22 18:01:45
392,,615980,,2020-12-22 18:01:45,2020-12-22 18:01:45
393,,247100,,2020-12-22 18:01:45,2020-12-22 18:01:45
394,,607721,,2020-12-22 18:01:46,2020-12-22 18:01:46
395,,617506,,2020-12-22 18:01:46,2020-12-22 18:01:46
396,,152900,,2020-12-22 18:01:46,2020-12-22 18:01:46
397,,153400,,2020-12-22 18:01:46,2020-12-22 18:01:46
398,,614569,,2020-12-22 18:01:46,2020-12-22 18:01:46
399,,602248,,2020-12-22 18:01:46,2020-12-22 18:01:46
400,,248370,,2020-12-22 18:01:46,2020-12-22 18:01:46
401,,608612,,2020-12-22 18:01:46,2020-12-22 18:01:46
402,,146550,,2020-12-22 18:01:47,2020-12-22 18:01:47
403,,612841,,2020-12-22 18:01:47,2020-12-22 18:01:47
404,,154780,,2020-12-22 18:01:47,2020-12-22 18:01:47
405,,174800,,2020-12-22 18:01:47,2020-12-22 18:01:47
406,,602501,,2020-12-22 18:01:47,2020-12-22 18:01:47
407,,155900,,2020-12-22 18:01:47,2020-12-22 18:01:47
