id,disease_id,reference_id,created_at,updated_at
11620,72,29799,2021-04-28 01:31:37.298919,2021-04-28 01:31:37.298919
11621,869,29800,2021-04-28 01:31:39.388230,2021-04-28 01:31:39.388230
11622,699,29801,2021-04-28 01:31:45.883835,2021-04-28 01:31:45.883835
11623,481,24449,2021-04-28 01:31:47.075338,2021-04-28 01:31:47.075338
11624,181,29802,2021-04-28 01:32:07.931662,2021-04-28 01:32:07.931662
11625,144,26785,2021-04-28 01:32:28.273130,2021-04-28 01:32:28.273130
11626,46,29803,2021-04-28 01:32:40.784717,2021-04-28 01:32:40.784717
11627,66,6832,2021-04-28 01:32:41.907390,2021-04-28 01:32:41.907390
11628,343,29804,2021-04-28 01:32:49.371403,2021-04-28 01:32:49.371403
11629,466,3191,2021-04-28 01:32:50.136101,2021-04-28 01:32:50.136101
11630,855,29808,2021-04-28 01:32:51.788222,2021-04-28 01:32:51.788222
11631,204,29810,2021-04-28 01:33:16.183283,2021-04-28 01:33:16.183283
11632,119,29811,2021-04-28 01:33:24.652560,2021-04-28 01:33:24.652560
11633,157,29812,2021-04-28 01:33:32.983529,2021-04-28 01:33:32.983529
11634,389,29813,2021-04-28 01:34:18.817604,2021-04-28 01:34:18.817604
11635,370,20771,2021-04-28 01:34:19.952479,2021-04-28 01:34:19.952479
11636,370,29814,2021-04-28 01:34:20.122927,2021-04-28 01:34:20.122927
11637,370,29816,2021-04-28 01:34:58.013306,2021-04-28 01:34:58.013306
11638,699,29817,2021-04-28 01:35:07.585878,2021-04-28 01:35:07.585878
11639,466,29819,2021-04-28 01:35:08.948193,2021-04-28 01:35:08.948193
11640,689,29820,2021-04-28 01:35:24.319682,2021-04-28 01:35:24.319682
11641,502,2180,2021-04-28 01:35:27.428781,2021-04-28 01:35:27.428781
11642,505,29827,2021-04-28 01:35:28.293069,2021-04-28 01:35:28.293069
11643,1,29828,2021-04-28 01:35:31.013918,2021-04-28 01:35:31.013918
11644,239,29829,2021-04-28 01:35:31.189038,2021-04-28 01:35:31.189038
11645,370,29831,2021-04-28 01:35:33.427000,2021-04-28 01:35:33.427000
11646,395,29832,2021-04-28 01:35:33.609182,2021-04-28 01:35:33.609182
11647,338,29833,2021-04-28 01:35:33.934719,2021-04-28 01:35:33.934719
11648,338,29834,2021-04-28 01:35:34.082339,2021-04-28 01:35:34.082339
11649,259,29838,2021-04-28 01:35:34.795852,2021-04-28 01:35:34.795852
11650,317,26089,2021-04-28 01:35:34.989167,2021-04-28 01:35:34.989167
11651,259,29839,2021-04-28 01:35:37.001718,2021-04-28 01:35:37.001718
11652,369,27818,2021-04-28 01:35:49.987579,2021-04-28 01:35:49.987579
11653,877,132,2021-04-28 01:36:13.685976,2021-04-28 01:36:13.685976
11654,66,13710,2021-04-28 01:36:15.820156,2021-04-28 01:36:15.820156
11655,119,28207,2021-04-28 01:36:19.236722,2021-04-28 01:36:19.236722
11656,699,29843,2021-04-28 01:36:20.465978,2021-04-28 01:36:20.465978
11657,682,9433,2021-04-28 01:36:29.958059,2021-04-28 01:36:29.958059
11658,48,18335,2021-04-28 01:36:35.048077,2021-04-28 01:36:35.048077
11659,422,13172,2021-04-28 01:36:41.253236,2021-04-28 01:36:41.253236
11660,332,4572,2021-04-28 01:36:58.806717,2021-04-28 01:36:58.806717
11661,677,29845,2021-04-28 01:37:04.851424,2021-04-28 01:37:04.851424
11662,100,19851,2021-04-28 01:37:11.621393,2021-04-28 01:37:11.621393
11663,682,28929,2021-04-28 01:37:25.977662,2021-04-28 01:37:25.977662
11664,130,29846,2021-04-28 01:37:27.556102,2021-04-28 01:37:27.556102
