id,phenotype_id,childhpo_id,created_at,updated_at
135,2682,9605,2021-01-19 16:55:58,2021-01-19 16:55:58
136,2682,7136,2021-01-19 16:56:00,2021-01-19 16:56:00
137,2682,2761,2021-01-19 16:56:02,2021-01-19 16:56:02
138,2761,5902,2021-01-19 16:56:02,2021-01-19 16:56:02
139,2682,9606,2021-01-19 16:56:05,2021-01-19 16:56:05
140,2682,6232,2021-01-19 16:56:07,2021-01-19 16:56:07
141,2682,2762,2021-01-19 16:56:09,2021-01-19 16:56:09
142,2682,985,2021-01-19 16:56:11,2021-01-19 16:56:11
143,2682,9607,2021-01-19 16:56:13,2021-01-19 16:56:13
144,1599,3047,2021-01-19 16:56:18,2021-01-19 16:56:18
145,1599,2418,2021-01-19 16:56:20,2021-01-19 16:56:20
146,1599,9608,2021-01-19 16:56:22,2021-01-19 16:56:22
147,182,2754,2021-01-19 16:56:25,2021-01-19 16:56:25
148,2754,1952,2021-01-19 16:56:26,2021-01-19 16:56:26
149,1952,2309,2021-01-19 16:56:26,2021-01-19 16:56:26
150,1952,1453,2021-01-19 16:56:28,2021-01-19 16:56:28
151,1453,6172,2021-01-19 16:56:29,2021-01-19 16:56:29
152,1453,9609,2021-01-19 16:56:31,2021-01-19 16:56:31
153,1453,7004,2021-01-19 16:56:33,2021-01-19 16:56:33
154,1453,7007,2021-01-19 16:56:35,2021-01-19 16:56:35
155,1952,958,2021-01-19 16:56:38,2021-01-19 16:56:38
156,958,9610,2021-01-19 16:56:39,2021-01-19 16:56:39
157,1952,9611,2021-01-19 16:56:42,2021-01-19 16:56:42
158,1952,553,2021-01-19 16:56:44,2021-01-19 16:56:44
159,2754,6712,2021-01-19 16:56:47,2021-01-19 16:56:47
160,6712,1953,2021-01-19 16:56:47,2021-01-19 16:56:47
161,6712,9612,2021-01-19 16:56:49,2021-01-19 16:56:49
162,6712,9613,2021-01-19 16:56:51,2021-01-19 16:56:51
163,6712,3120,2021-01-19 16:56:53,2021-01-19 16:56:53
164,2754,9614,2021-01-19 16:56:56,2021-01-19 16:56:56
165,2754,9615,2021-01-19 16:56:58,2021-01-19 16:56:58
166,2754,9616,2021-01-19 16:57:00,2021-01-19 16:57:00
167,2754,7880,2021-01-19 16:57:02,2021-01-19 16:57:02
168,7880,806,2021-01-19 16:57:03,2021-01-19 16:57:03
169,7880,9617,2021-01-19 16:57:05,2021-01-19 16:57:05
170,7880,788,2021-01-19 16:57:07,2021-01-19 16:57:07
171,788,8865,2021-01-19 16:57:08,2021-01-19 16:57:08
172,788,361,2021-01-19 16:57:09,2021-01-19 16:57:09
173,788,9618,2021-01-19 16:57:11,2021-01-19 16:57:11
174,788,9619,2021-01-19 16:57:13,2021-01-19 16:57:13
175,7880,903,2021-01-19 16:57:16,2021-01-19 16:57:16
176,903,246,2021-01-19 16:57:17,2021-01-19 16:57:17
177,903,3055,2021-01-19 16:57:19,2021-01-19 16:57:19
178,7880,70,2021-01-19 16:57:22,2021-01-19 16:57:22
179,70,9620,2021-01-19 16:57:23,2021-01-19 16:57:23
180,70,9621,2021-01-19 16:57:25,2021-01-19 16:57:25
181,70,2688,2021-01-19 16:57:27,2021-01-19 16:57:27
182,70,3757,2021-01-19 16:57:29,2021-01-19 16:57:29
183,70,3761,2021-01-19 16:57:30,2021-01-19 16:57:30
184,70,2134,2021-01-19 16:57:32,2021-01-19 16:57:32
185,70,2689,2021-01-19 16:57:34,2021-01-19 16:57:34
186,7880,219,2021-01-19 16:57:37,2021-01-19 16:57:37
187,219,30,2021-01-19 16:57:38,2021-01-19 16:57:38
188,30,9622,2021-01-19 16:57:39,2021-01-19 16:57:39
189,30,3229,2021-01-19 16:57:41,2021-01-19 16:57:41
190,30,7886,2021-01-19 16:57:43,2021-01-19 16:57:43
191,30,1762,2021-01-19 16:57:45,2021-01-19 16:57:45
192,219,1053,2021-01-19 16:57:48,2021-01-19 16:57:48
193,1053,1794,2021-01-19 16:57:48,2021-01-19 16:57:48
194,219,360,2021-01-19 16:57:51,2021-01-19 16:57:51
195,219,4856,2021-01-19 16:57:53,2021-01-19 16:57:53
196,4856,1054,2021-01-19 16:57:54,2021-01-19 16:57:54
