id,hpo,sider,name,description,created_at,updated_at,related_to,gene_phenotype_relationships_count,disease_phenotype_relationships_count
93,HP:0001704,,Tricuspid valve prolapse,,2020-12-24 16:25:59,2020-12-24 16:25:59,,12,3
94,HP:0002763,,Abnormal cartilage morphology,,2020-12-24 16:25:59,2020-12-24 16:25:59,,35,1
95,HP:0001650,,Aortic valve stenosis,,2020-12-24 16:25:59,2020-12-24 16:25:59,,75,6
96,HP:0001680,,Coarctation of aorta,,2020-12-24 16:25:59,2020-12-24 16:25:59,,114,4
97,HP:0000943,,Dysostosis multiplex,,2020-12-24 16:25:59,2020-12-24 16:25:59,,20,3
98,HP:0001269,,Hemiparesis,,2020-12-24 16:25:59,2020-12-24 16:25:59,,96,7
99,HP:0002301,,Hemiplegia,,2020-12-24 16:25:59,2020-12-24 16:25:59,,31,3
100,HP:0011611,,Interrupted aortic arch,,2020-12-24 16:25:59,2020-12-24 16:25:59,,16,1
101,HP:0040188,,Osteochondrosis,,2020-12-24 16:26:00,2020-12-24 16:26:00,,8,1
102,HP:0003470,,Paralysis,,2020-12-24 16:26:00,2020-12-24 16:26:00,,139,3
103,HP:0002652,,Skeletal dysplasia,,2020-12-24 16:26:00,2020-12-24 16:26:00,,175,12
104,HP:0002445,,Tetraplegia,,2020-12-24 16:26:00,2020-12-24 16:26:00,,31,1
105,HP:0000593,,Abnormal anterior chamber morphology,,2020-12-24 16:26:00,2020-12-24 16:26:00,,42,4
106,HP:0100702,,Arachnoid cyst,,2020-12-24 16:26:00,2020-12-24 16:26:00,,27,5
107,HP:0001631,,Atrial septal defect,,2020-12-24 16:26:00,2020-12-24 16:26:00,,361,24
108,HP:0001321,,Cerebellar hypoplasia,,2020-12-24 16:26:00,2020-12-24 16:26:00,,220,14
109,HP:0002539,,Cortical dysplasia,,2020-12-24 16:26:00,2020-12-24 16:26:00,,81,4
110,HP:0000028,,Cryptorchidism,,2020-12-24 16:26:00,2020-12-24 16:26:00,,684,41
111,HP:0001305,,Dandy-Walker malformation,,2020-12-24 16:26:00,2020-12-24 16:26:00,,124,14
112,HP:0000625,,Eyelid coloboma,,2020-12-24 16:26:00,2020-12-24 16:26:00,,31,4
113,HP:0000126,,Hydronephrosis,,2020-12-24 16:26:00,2020-12-24 16:26:00,,202,22
114,HP:0002079,,Hypoplasia of the corpus callosum,,2020-12-24 16:26:00,2020-12-24 16:26:00,,468,11
115,HP:0007676,,Hypoplasia of the iris,,2020-12-24 16:26:00,2020-12-24 16:26:00,,32,5
116,HP:0001140,,Limbal dermoid,,2020-12-24 16:26:00,2020-12-24 16:26:00,,6,4
117,HP:0007546,,Linear hyperpigmentation,,2020-12-24 16:26:00,2021-01-19 17:14:50,skin,2,2
118,HP:0012032,,Lipoma,,2020-12-24 16:26:00,2020-12-24 16:26:00,,22,7
119,HP:0100251,,Multiple central nervous system lipomas,,2020-12-24 16:26:00,2020-12-24 16:26:00,,4,1
120,HP:0000125,,Pelvic kidney,,2020-12-24 16:26:00,2020-12-24 16:26:00,,20,1
121,HP:0004969,,Peripheral pulmonary artery stenosis,,2020-12-24 16:26:00,2020-12-24 16:26:00,,24,2
122,HP:0002132,,Porencephalic cyst,,2020-12-24 16:26:00,2020-12-24 16:26:00,,26,5
123,HP:0025356,,Psychomotor retardation,,2020-12-24 16:26:00,2020-12-24 16:26:00,,95,8
124,HP:0000647,,Sclerocornea,,2020-12-24 16:26:00,2020-12-24 16:26:00,,40,4
125,HP:0001442,,Somatic mosaicism,,2020-12-24 16:26:00,2020-12-24 16:26:00,,12,4
126,HP:0001031,,Subcutaneous lipoma,The presence of subcutaneous lipoma.,2020-12-24 16:26:00,2021-01-19 16:54:18,skin,7,4
127,HP:0001682,,Subvalvular aortic stenosis,,2020-12-24 16:26:00,2020-12-24 16:26:00,,15,2
128,HP:0004471,,Aplasia cutis congenita over the scalp vertex,"A developmental defect resulting in the congenital absence of skin on the scalp vertex, often just lateral to the midline.",2020-12-24 16:26:00,2021-01-19 16:59:29,skin,5,2
129,HP:0001362,,Calvarial skull defect,,2020-12-24 16:26:00,2020-12-24 16:26:00,,21,5
130,HP:0007383,,Congenital localized absence of skin,,2020-12-24 16:26:00,2021-01-19 16:59:01,skin,8,1
131,HP:0010301,,Spinal dysraphism,,2020-12-24 16:26:00,2020-12-24 16:26:00,,165,3
132,HP:0200042,,Skin ulcer,A discontinuity of the skin exhibiting complete loss of the epidermis and often portions of the dermis and even subcutaneous fat.,2020-12-24 16:26:00,2021-01-19 16:58:10,skin,116,39
133,HP:0004348,,Abnormality of bone mineral density,,2020-12-24 16:26:00,2020-12-24 16:26:00,,519,1
134,HP:0010628,,Facial palsy,,2020-12-24 16:26:00,2020-12-24 16:26:00,,211,5
135,HP:0003010,,Prolonged bleeding time,,2020-12-24 16:26:00,2020-12-24 16:26:00,,44,6
136,HP:0000006,,Autosomal dominant inheritance,,2020-12-24 16:26:00,2020-12-24 16:26:00,,1780,208
137,HP:0007703,,Abnormality of retinal pigmentation,,2020-12-24 16:26:01,2020-12-24 16:26:01,,331,17
138,HP:0100257,,Ectrodactyly,,2020-12-24 16:26:01,2020-12-24 16:26:01,,65,3
139,HP:0007754,,Macular dystrophy,,2020-12-24 16:26:01,2020-12-24 16:26:01,,20,2
140,HP:0002231,,Sparse body hair,,2020-12-24 16:26:01,2020-12-24 16:26:01,,58,20
141,HP:0002209,,Sparse scalp hair,,2020-12-24 16:26:01,2020-12-24 16:26:01,,101,38
142,HP:0000504,,Abnormality of vision,,2020-12-24 16:26:01,2020-12-24 16:26:01,,1223,15
143,HP:0002223,,Absent eyebrow,,2020-12-24 16:26:01,2020-12-24 16:26:01,,21,13
144,HP:0000670,,Carious teeth,,2020-12-24 16:26:01,2020-12-24 16:26:01,,150,43
145,HP:0000691,,Microdontia,,2020-12-24 16:26:01,2020-12-24 16:26:01,,108,25
146,HP:0001592,,Selective tooth agenesis,,2020-12-24 16:26:01,2020-12-24 16:26:01,,29,7
147,HP:0000687,,Widely spaced teeth,,2020-12-24 16:26:01,2020-12-24 16:26:01,,75,6
148,HP:0000486,,Strabismus,,2020-12-24 16:26:01,2020-12-24 16:26:01,,910,59
149,HP:0000007,,Autosomal recessive inheritance,,2020-12-24 16:26:01,2020-12-24 16:26:01,,2634,179
150,HP:0012385,,Camptodactyly,,2020-12-24 16:26:01,2020-12-24 16:26:01,,265,8
