id,disease_id,name,description,created_at,updated_at,umlsid,phenotype_id
111,,,,2020-12-22 18:01:28,2020-12-22 18:01:28,C0751039,NULL
112,,,,2020-12-22 18:01:28,2020-12-22 18:01:28,C0751038,NULL
113,,,,2020-12-22 18:01:28,2020-12-22 18:01:28,C0751037,NULL
114,,,,2020-12-22 18:01:29,2020-12-22 18:01:29,C2931010,NULL
115,,,,2020-12-22 18:01:29,2020-12-22 18:01:29,C0011859,NULL
116,,,,2020-12-22 18:01:29,2020-12-22 18:01:29,C0221032,NULL
117,,,,2020-12-22 18:01:29,2020-12-22 18:01:29,C2750069,NULL
118,,,,2020-12-22 18:01:29,2020-12-22 18:01:29,C1852542,NULL
119,,,,2020-12-22 18:01:29,2020-12-22 18:01:29,C2931506,NULL
120,,,,2020-12-22 18:01:29,2020-12-22 18:01:29,C0587248,NULL
121,,,,2020-12-22 18:01:29,2020-12-22 18:01:29,C0018553,NULL
122,,,,2020-12-22 18:01:29,2020-12-22 18:01:29,C0432348,NULL
123,,,,2020-12-22 18:01:29,2020-12-22 18:01:29,C0432235,NULL
124,,,,2020-12-22 18:01:30,2020-12-22 18:01:30,C0282207,NULL
125,,,,2020-12-22 18:01:30,2020-12-22 18:01:30,C0343115,NULL
126,,,,2020-12-22 18:01:30,2020-12-22 18:01:30,C0268350,NULL
127,,,,2020-12-22 18:01:30,2020-12-22 18:01:30,C0268351,NULL
128,,,,2020-12-22 18:01:30,2020-12-22 18:01:30,C0432336,NULL
129,,,,2020-12-22 18:01:30,2020-12-22 18:01:30,C0345419,NULL
130,,,,2020-12-22 18:01:30,2020-12-22 18:01:30,C0263417,NULL
131,,,,2020-12-22 18:01:30,2020-12-22 18:01:30,C1855477,NULL
132,,,,2020-12-22 18:01:30,2020-12-22 18:01:30,C0022595,NULL
133,,,,2020-12-22 18:01:31,2020-12-22 18:01:31,C1857340,NULL
134,,,,2020-12-22 18:01:31,2020-12-22 18:01:31,C1856186,NULL
135,,,,2020-12-22 18:01:31,2020-12-22 18:01:31,C2748507,NULL
136,,,,2020-12-22 18:01:31,2020-12-22 18:01:31,C0011608,NULL
137,,,,2020-12-22 18:01:31,2020-12-22 18:01:31,C0392784,NULL
138,,,,2020-12-22 18:01:31,2020-12-22 18:01:31,C0011633,NULL
139,,,,2020-12-22 18:01:31,2020-12-22 18:01:31,C0221056,NULL
140,,,,2020-12-22 18:01:31,2020-12-22 18:01:31,C1857301,NULL
141,,,,2020-12-22 18:01:31,2020-12-22 18:01:31,C0406778,NULL
142,,,,2020-12-22 18:01:31,2020-12-22 18:01:31,C2700425,NULL
143,,,,2020-12-22 18:01:31,2020-12-22 18:01:31,C0432288,NULL
144,,,,2020-12-22 18:01:31,2020-12-22 18:01:31,C1852144,NULL
145,,,,2020-12-22 18:01:32,2020-12-22 18:01:32,C0265970,NULL
146,,,,2020-12-22 18:01:32,2020-12-22 18:01:32,C1835849,NULL
147,,,,2020-12-22 18:01:32,2020-12-22 18:01:32,C0795927,NULL
148,,,,2020-12-22 18:01:32,2020-12-22 18:01:32,C3714534,NULL
149,,,,2020-12-22 18:01:32,2020-12-22 18:01:32,C0175691,NULL
