id,disease_gene_id,reference_id,created_at,updated_at
13423,12102,25254,2021-04-27 21:46:11.620556,2021-04-27 21:46:11.620556
13424,12103,22010,2021-04-27 21:46:12.238903,2021-04-27 21:46:12.238903
13425,12104,14651,2021-04-27 21:46:13.752570,2021-04-27 21:46:13.752570
13426,12105,2055,2021-04-27 21:46:25.939014,2021-04-27 21:46:25.939014
13427,12106,132,2021-04-27 21:46:28.436393,2021-04-27 21:46:28.436393
13428,12107,26816,2021-04-27 21:46:30.370421,2021-04-27 21:46:30.370421
13429,12108,4071,2021-04-27 21:46:31.055886,2021-04-27 21:46:31.055886
13430,12109,26817,2021-04-27 21:46:33.852143,2021-04-27 21:46:33.852143
13431,12110,26625,2021-04-27 21:46:36.661804,2021-04-27 21:46:36.661804
13432,12111,26477,2021-04-27 21:46:36.800664,2021-04-27 21:46:36.800664
13433,12112,26626,2021-04-27 21:46:36.973712,2021-04-27 21:46:36.973712
13434,106,26477,2021-04-27 21:46:37.352860,2021-04-27 21:46:37.352860
13435,106,15055,2021-04-27 21:46:37.544960,2021-04-27 21:46:37.544960
13436,106,132,2021-04-27 21:46:37.621529,2021-04-27 21:46:37.621529
13437,106,26818,2021-04-27 21:46:38.219364,2021-04-27 21:46:38.219364
13438,12113,14713,2021-04-27 21:46:42.408533,2021-04-27 21:46:42.408533
13439,12114,11879,2021-04-27 21:46:45.748652,2021-04-27 21:46:45.748652
13440,12115,26823,2021-04-27 21:46:49.661369,2021-04-27 21:46:49.661369
13441,12116,26824,2021-04-27 21:46:57.351819,2021-04-27 21:46:57.351819
13442,12117,19848,2021-04-27 21:47:01.933455,2021-04-27 21:47:01.933455
13443,12118,132,2021-04-27 21:47:05.181427,2021-04-27 21:47:05.181427
13444,12119,6483,2021-04-27 21:47:06.923401,2021-04-27 21:47:06.923401
13445,12120,23018,2021-04-27 21:47:08.340515,2021-04-27 21:47:08.340515
13446,12121,23019,2021-04-27 21:47:09.129555,2021-04-27 21:47:09.129555
13447,12122,2042,2021-04-27 21:47:09.297175,2021-04-27 21:47:09.297175
13448,12123,26828,2021-04-27 21:47:18.092818,2021-04-27 21:47:18.092818
13449,12124,132,2021-04-27 21:47:19.111368,2021-04-27 21:47:19.111368
13450,12125,3178,2021-04-27 21:47:21.988109,2021-04-27 21:47:21.988109
13451,12126,132,2021-04-27 21:47:24.117955,2021-04-27 21:47:24.117955
13452,12127,8448,2021-04-27 21:47:27.427722,2021-04-27 21:47:27.427722
13453,12128,26829,2021-04-27 21:47:28.873635,2021-04-27 21:47:28.873635
13454,12128,26830,2021-04-27 21:47:29.033121,2021-04-27 21:47:29.033121
13455,12129,26831,2021-04-27 21:47:30.752316,2021-04-27 21:47:30.752316
13456,12130,23364,2021-04-27 21:47:34.653044,2021-04-27 21:47:34.653044
13457,12131,18010,2021-04-27 21:47:36.844674,2021-04-27 21:47:36.844674
13458,12132,630,2021-04-27 21:47:38.741655,2021-04-27 21:47:38.741655
13459,12133,22054,2021-04-27 21:47:39.051195,2021-04-27 21:47:39.051195
13460,12134,26834,2021-04-27 21:47:39.505691,2021-04-27 21:47:39.505691
13461,12135,26836,2021-04-27 21:47:45.319315,2021-04-27 21:47:45.319315
13462,12136,13456,2021-04-27 21:47:47.041159,2021-04-27 21:47:47.041159
13463,12137,26838,2021-04-27 21:47:56.238195,2021-04-27 21:47:56.238195
13464,12138,5367,2021-04-27 21:47:59.518197,2021-04-27 21:47:59.518197
13465,12139,19389,2021-04-27 21:48:08.618968,2021-04-27 21:48:08.618968
13466,12140,26839,2021-04-27 21:48:09.548998,2021-04-27 21:48:09.548998
13467,12141,24658,2021-04-27 21:48:11.279718,2021-04-27 21:48:11.279718
13468,12142,26840,2021-04-27 21:48:19.122073,2021-04-27 21:48:19.122073
13469,12143,26842,2021-04-27 21:48:20.374521,2021-04-27 21:48:20.374521
13470,12144,26843,2021-04-27 21:48:21.028423,2021-04-27 21:48:21.028423
13471,12145,7482,2021-04-27 21:48:21.686356,2021-04-27 21:48:21.686356
13472,12146,7482,2021-04-27 21:48:22.075010,2021-04-27 21:48:22.075010
13473,12147,26845,2021-04-27 21:48:25.127120,2021-04-27 21:48:25.127120
13474,12148,26846,2021-04-27 21:48:26.266759,2021-04-27 21:48:26.266759
13475,12149,26847,2021-04-27 21:48:27.261668,2021-04-27 21:48:27.261668
13476,12150,26848,2021-04-27 21:48:32.543665,2021-04-27 21:48:32.543665
13477,12151,2657,2021-04-27 21:48:44.229423,2021-04-27 21:48:44.229423
13478,12152,13759,2021-04-27 21:48:47.227479,2021-04-27 21:48:47.227479
13479,12153,26849,2021-04-27 21:48:49.078665,2021-04-27 21:48:49.078665
13480,12154,132,2021-04-27 21:48:53.362144,2021-04-27 21:48:53.362144
13481,12155,132,2021-04-27 21:48:53.493602,2021-04-27 21:48:53.493602
13482,12156,26850,2021-04-27 21:48:57.855272,2021-04-27 21:48:57.855272
13483,12157,2076,2021-04-27 21:49:01.808496,2021-04-27 21:49:01.808496
13484,12158,2077,2021-04-27 21:49:02.616350,2021-04-27 21:49:02.616350
13485,12159,2078,2021-04-27 21:49:02.732953,2021-04-27 21:49:02.732953
13486,12160,2079,2021-04-27 21:49:03.191749,2021-04-27 21:49:03.191749
13487,12161,2080,2021-04-27 21:49:03.471348,2021-04-27 21:49:03.471348
