head,relation,tail
icd11:172468257,is_a,icd11:1873247529
icd11:488366644,is_a,icd11:1895278089
icd11:499594922,is_a,icd11:1790484912
icd11:2012125844,is_a,icd11:1221705134
icd11:1629105375,is_a,icd11:71458216
icd11:1629105375,is_a,icd11:548938147
icd11:1884412538,is_a,icd11:1303137937
icd11:1884412538,is_a,icd11:2065076111
icd11:725727325,is_a,icd11:1520135105
icd11:2124202179,is_a,icd11:1717989511
icd11:1554593739,is_a,icd11:1774744793
icd11:1185264062,is_a,icd11:1587982105
icd11:2015132256,is_a,icd11:1634507618
icd11:2015132256,is_a,icd11:1272195263
icd11:1095226438,is_a,icd11:246113667
icd11:611718075,is_a,icd11:440403304
icd11:1210333794,is_a,icd11:609177862
icd11:177238180,is_a,icd11:1274367546
icd11:1074739219,is_a,icd11:828658864
icd11:1059172241,is_a,icd11:1463329903
icd11:1969605754,is_a,icd11:842877470
icd11:1559005665,is_a,icd11:1405407847
icd11:638767040,is_a,icd11:1520135105
icd11:638767040,is_a,icd11:886393867
icd11:197185585,is_a,icd11:889309257
icd11:484707901,is_a,icd11:1324017222
icd11:172628415,is_a,icd11:825410563
icd11:1401395930,is_a,icd11:533054712
icd11:1401395930,is_a,icd11:248439328
icd11:1508490009,is_a,icd11:1420628456
icd11:1768324595,is_a,icd11:1450016313
icd11:1971045353,is_a,icd11:254627332
icd11:1192293625,is_a,icd11:250018994
icd11:1192293625,is_a,icd11:595701953
icd11:1657978644,is_a,icd11:1879363024
icd11:1975361268,is_a,icd11:262268689
icd11:1975361268,is_a,icd11:218372467
icd11:220728152,is_a,icd11:1595346575
icd11:783045723,is_a,icd11:2012125844
icd11:729749813,is_a,icd11:1644926300
icd11:283910751,is_a,icd11:1776006391
icd11:62999288,is_a,icd11:913893315
icd11:1136579166,is_a,icd11:1561844189
icd11:2121996806,is_a,icd11:1412960686
icd11:151754090,is_a,icd11:1611627650
icd11:812792270,is_a,icd11:811020627
icd11:812792270,is_a,icd11:1884412538
icd11:435343272,is_a,icd11:1817810485
icd11:1465651353,is_a,icd11:2057714006
icd11:1366276391,is_a,icd11:357498950
icd11:1366276391,is_a,icd11:1622824332
icd11:2004835031,is_a,icd11:1271663754
icd11:1891839623,is_a,icd11:1078773185
icd11:1673144937,is_a,icd11:1883089743
icd11:1487400105,is_a,icd11:2093211032
icd11:994394107,is_a,icd11:1737637989
icd11:655808502,is_a,icd11:1791550158
icd11:488102959,is_a,icd11:923829051
icd11:488102959,is_a,icd11:1819307779
icd11:783388945,is_a,icd11:270453245
icd11:1432427836,is_a,icd11:1141982501
icd11:1432427836,is_a,icd11:93998748
icd11:1393869347,is_a,icd11:121657546
icd11:215528867,is_a,icd11:901000137
icd11:464336101,is_a,icd11:1272195263
icd11:464336101,is_a,icd11:730754217
icd11:1083416155,is_a,icd11:1729141794
icd11:1537338570,is_a,icd11:1170570126
icd11:1280818714,is_a,icd11:141396655
icd11:1702915822,is_a,icd11:1329581953
icd11:1702915822,is_a,icd11:1747531460
icd11:633463315,is_a,icd11:1156567558
icd11:633463315,is_a,icd11:719536791
icd11:1505179968,is_a,icd11:261248609
icd11:1753199922,is_a,icd11:1034144655
icd11:441810052,is_a,icd11:1615091898
icd11:441810052,is_a,icd11:1315062714
icd11:1532477280,is_a,icd11:928435705
icd11:49558793,is_a,icd11:1705499478
icd11:1412478956,is_a,icd11:1561120378
icd11:1320584204,is_a,icd11:1039486422
icd11:1320584204,is_a,icd11:1629027778
icd11:690728790,is_a,icd11:682520860
icd11:1516230030,is_a,icd11:282073961
